country,dates,genres,score,title,url,votes
United States,2019..,"[""Crime"", ""Drama"", ""Mystery""]",7.1,Truth Be Told,https://imdb.com/title/tt7821582/,13997
United States,2011..2021,"[""Comedy"", ""Drama""]",8.6,Shameless,https://imdb.com/title/tt1586680/,247115
United States,2002..2008,"[""Crime"", ""Drama"", ""Thriller""]",9.3,The Wire,https://imdb.com/title/tt0306414/,344184
United States,1989..1998,"[""Comedy""]",8.9,Seinfeld,https://imdb.com/title/tt0098904/,323922
United States,2019..,"[""Action"", ""Adventure"", ""Drama""]",8.1,The Witcher,https://imdb.com/title/tt5180504/,505621
United States,2022..,"[""Drama"", ""Mystery"", ""Sci-Fi""]",7.7,The Peripheral,https://imdb.com/title/tt8291284/,61276
United States,2020..,"[""Comedy"", ""Drama"", ""Romance""]",6.9,Emily in Paris,https://imdb.com/title/tt8962124/,102047
United States,2011..2019,"[""Drama"", ""Mystery"", ""Sci-Fi""]",8.8,Black Mirror,https://imdb.com/title/tt2085059/,555676
United States,2021..,"[""Drama"", ""Horror"", ""Mystery""]",7.9,Yellowjackets,https://imdb.com/title/tt11041332/,50585
United States,2017..,"[""Drama""]",8.1,The Good Doctor,https://imdb.com/title/tt6470478/,97445
United States,2020..,"[""Action"", ""Drama"", ""Thriller""]",7.1,9-1-1: Lone Star,https://imdb.com/title/tt10323338/,15877
United States,2014..,"[""Drama"", ""Fantasy"", ""Romance""]",8.4,Outlander,https://imdb.com/title/tt3006802/,162065
United States,2022..,"[""Drama""]",7.2,Fire Country,https://imdb.com/title/tt16098700/,3972
United States,2017..,"[""Drama"", ""Sci-Fi"", ""Thriller""]",8.4,The Handmaid's Tale,https://imdb.com/title/tt5834204/,242430
United States,2022..,"[""Drama"", ""Mystery""]",7.4,1899,https://imdb.com/title/tt9319668/,89492
United States,2022..,"[""Action"", ""Crime"", ""Drama""]",8.1,Reacher,https://imdb.com/title/tt9288030/,129650
United States,2021..,"[""Comedy"", ""Fantasy""]",7.8,Ghosts,https://imdb.com/title/tt11379026/,19237
United States,2023..,"[""Reality-TV""]",2.9,MILF Manor,https://imdb.com/title/tt25375242/,440
United States,2008..2013,"[""Drama"", ""Mystery"", ""Sci-Fi""]",8.4,Fringe,https://imdb.com/title/tt1119644/,244588
United States,2017..,"[""Drama"", ""History""]",9.3,The Chosen,https://imdb.com/title/tt9471404/,31943
United States,1999..,"[""Animation"", ""Comedy""]",8.2,Family Guy,https://imdb.com/title/tt0182576/,344602
United States,2004..2012,"[""Drama"", ""Mystery""]",8.7,House M.D.,https://imdb.com/title/tt0412142/,470267
United States,2010..,"[""Crime"", ""Drama"", ""Mystery""]",7.7,Blue Bloods,https://imdb.com/title/tt1595859/,41813
United States,2017..2021,"[""Crime"", ""Drama"", ""Mystery""]",7.9,The Sinner,https://imdb.com/title/tt6048596/,127504
United States,2018..,"[""Drama"", ""Mystery"", ""Sci-Fi""]",7.1,Manifest,https://imdb.com/title/tt8421350/,70096
United States,2004..2010,"[""Adventure"", ""Drama"", ""Fantasy""]",8.3,Lost,https://imdb.com/title/tt0411008/,558722
United States,2005..2014,"[""Comedy"", ""Romance""]",8.3,How I Met Your Mother,https://imdb.com/title/tt0460649/,690208
United States,2019..2023,"[""Action"", ""Adventure"", ""Comedy""]",7.8,Doom Patrol,https://imdb.com/title/tt8416494/,54731
United States,2016..2021,"[""Crime"", ""Drama"", ""Fantasy""]",8.1,Lucifer,https://imdb.com/title/tt4052886/,329063
United States,2009..2015,"[""Comedy""]",8.6,Parks and Recreation,https://imdb.com/title/tt1266020/,263312
United States,2017..2022,"[""Crime"", ""Drama"", ""Thriller""]",8.5,Ozark,https://imdb.com/title/tt5071412/,320420
United States,2012..,"[""Action"", ""Drama""]",8.0,Chicago Fire,https://imdb.com/title/tt2261391/,58716
United States,1990..,"[""Crime"", ""Drama"", ""Mystery""]",7.8,Law & Order,https://imdb.com/title/tt0098844/,39990
United States,1993..2018,"[""Crime"", ""Drama"", ""Mystery""]",8.6,The X-Files,https://imdb.com/title/tt0106179/,229450
United States,2015..2023,"[""Drama"", ""Horror"", ""Sci-Fi""]",6.8,Fear the Walking Dead,https://imdb.com/title/tt3743822/,132139
United States,2009..2015,"[""Comedy""]",8.5,Community,https://imdb.com/title/tt1439629/,269773
United States,2014..2023,"[""Action"", ""Adventure"", ""Drama""]",7.6,The Flash,https://imdb.com/title/tt3107288/,348877
United States,1989..,"[""Animation"", ""Comedy""]",8.7,The Simpsons,https://imdb.com/title/tt0096697/,411365
United States,2017..,"[""Action"", ""Adventure"", ""Crime""]",7.1,S.W.A.T.,https://imdb.com/title/tt6111130/,25035
United States,2022..,"[""Drama"", ""Horror"", ""Mystery""]",6.5,The Watcher,https://imdb.com/title/tt14852808/,63871
United States,2011..2018,"[""Comedy"", ""Romance""]",7.8,New Girl,https://imdb.com/title/tt1826940/,228325
United States,2014..,"[""Crime"", ""Drama"", ""Thriller""]",8.9,Fargo,https://imdb.com/title/tt2802850/,377421
United States,2013..2021,"[""Comedy"", ""Crime""]",8.4,Brooklyn Nine-Nine,https://imdb.com/title/tt2467372/,322889
United States,1997..,"[""Animation"", ""Comedy""]",8.7,South Park,https://imdb.com/title/tt0121955/,373460
United States,2003..2012,"[""Drama"", ""Romance"", ""Sport""]",7.8,One Tree Hill,https://imdb.com/title/tt0368530/,82052
United States,2000..2007,"[""Comedy"", ""Drama""]",8.2,Gilmore Girls,https://imdb.com/title/tt0238784/,130697
United States,2017..2020,"[""Crime"", ""Drama"", ""Mystery""]",8.7,Dark,https://imdb.com/title/tt5753856/,397258
United States,2008..2014,"[""Crime"", ""Drama"", ""Thriller""]",8.6,Sons of Anarchy,https://imdb.com/title/tt1124373/,301305
United States,2014..,"[""Action"", ""Crime"", ""Drama""]",8.1,Chicago P.D.,https://imdb.com/title/tt2805096/,39692
United States,2019..,"[""Crime"", ""Drama""]",8.1,Godfather of Harlem,https://imdb.com/title/tt8080122/,15369
United States,1997..2003,"[""Action"", ""Drama"", ""Fantasy""]",8.3,Buffy the Vampire Slayer,https://imdb.com/title/tt0118276/,149436
United States,2021..2023,"[""Drama"", ""Romance""]",5.4,Gossip Girl,https://imdb.com/title/tt10653784/,12907
United States,2018..2023,"[""Action"", ""Adventure"", ""Crime""]",7.6,Titans,https://imdb.com/title/tt1043813/,103310
United States,2009..2016,"[""Comedy"", ""Crime"", ""Drama""]",8.1,Castle,https://imdb.com/title/tt1219024/,164567
United States,2022..,"[""Comedy"", ""Drama"", ""Thriller""]",8.3,Bad Sisters,https://imdb.com/title/tt15469618/,19867
United States,2015..2017,"[""Biography"", ""Crime"", ""Drama""]",8.8,Narcos,https://imdb.com/title/tt2707408/,428074
United States,1994..2009,"[""Drama"", ""Romance""]",7.9,ER,https://imdb.com/title/tt0108757/,62795
United States,2009..2023,"[""Action"", ""Crime"", ""Drama""]",6.8,NCIS: Los Angeles,https://imdb.com/title/tt1378167/,54541
United States,2022..,"[""Drama"", ""Fantasy"", ""Horror""]",7.7,The Sandman,https://imdb.com/title/tt1751634/,149786
United States,2019..2022,"[""Comedy"", ""Crime"", ""Drama""]",8.0,Dead to Me,https://imdb.com/title/tt8064302/,90064
United States,2018..,"[""Action"", ""Crime"", ""Drama""]",7.0,FBI,https://imdb.com/title/tt7491982/,18968
United States,2009..2017,"[""Drama"", ""Fantasy"", ""Horror""]",7.7,The Vampire Diaries,https://imdb.com/title/tt1405406/,325800
United States,2022..,"[""Drama"", ""Horror"", ""Mystery""]",7.0,Guillermo del Toro's Cabinet of Curiosities,https://imdb.com/title/tt8415836/,43949
United States,2016..2022,"[""Comedy"", ""Drama"", ""Music""]",8.6,Atlanta,https://imdb.com/title/tt4288182/,76887
United States,2018..,"[""Action"", ""Drama"", ""Thriller""]",7.8,9-1-1,https://imdb.com/title/tt7235466/,35714
United States,1987..1994,"[""Action"", ""Adventure"", ""Sci-Fi""]",8.7,Star Trek: The Next Generation,https://imdb.com/title/tt0092455/,123135
United States,2008..2014,"[""Drama"", ""Fantasy"", ""Mystery""]",7.9,True Blood,https://imdb.com/title/tt0844441/,248308
United States,2012..2017,"[""Comedy""]",7.5,The Mindy Project,https://imdb.com/title/tt2211129/,33023
