country,dates,genres,score,title,url,votes,critic_count,description,popularity
United States,2013..2023,"[""Crime"", ""Drama"", ""Mystery""]",8.0,The Blacklist,https://www.imdb.com/title/tt2741602/,253130,59,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",78
United States,2011..2021,"[""Comedy"", ""Drama""]",8.6,Shameless,https://www.imdb.com/title/tt1586680/,247115,52,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",96
United States,2017..,"[""Drama"", ""Sci"", ""Fi"", ""Thriller""]",8.4,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,242430,118,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",109
United States,2017..2019,"[""Action"", ""Crime"", ""Drama""]",8.5,The Punisher,https://www.imdb.com/title/tt5675620/,240571,88,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher"".",351
United States,1993..2018,"[""Crime"", ""Drama"", ""Mystery""]",8.6,The X-Files,https://www.imdb.com/title/tt0106179/,229450,157,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",132
United States,2005..,"[""Comedy""]",8.8,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,229305,73,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,71
United Kingdom (Great Britain),2005..,"[""Adventure"", ""Drama"", ""Sci"", ""Fi""]",8.6,Doctor Who,https://www.imdb.com/title/tt0436992/,228242,212,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,80
United States,2020..,"[""Comedy"", ""Drama"", ""Sport""]",8.8,Ted Lasso,https://www.imdb.com/title/tt10986410/,226195,74,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",59
United States,2017..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.5,Big Little Lies,https://www.imdb.com/title/tt3920596/,203583,62,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,358
United States,2005..,"[""Crime"", ""Drama"", ""Mystery""]",8.1,Criminal Minds,https://www.imdb.com/title/tt0452046/,202431,66,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,21
United Kingdom (Great Britain),2017..2019,"[""Adventure"", ""Comedy"", ""Crime""]",8.0,The End of the F***ing World,https://www.imdb.com/title/tt6257970/,195743,45,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",605
United States,2019..,"[""Drama""]",8.4,Euphoria,https://www.imdb.com/title/tt8772296/,192629,57,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.",88
